bulgarian,english,pronunciation
Понеделник,Monday,po-ne-del-nik
Вторник,Tuesday,vto-rnik
Сряда,Wednesday,srya-da
Четвъртък,Thursday,chet-vur-tuk
Петък,Friday,pet-uk
Събота,Saturday,suh-bo-ta
Неделя,Sunday,ne-de-lya
Януари,January,ya-nu-a-ri
Февруари,February,fe-vro-a-ri
Март,March,mart
Април,April,a-pril
Май,May,may
Юни,June,yu-ni
Юли,July,yu-li
Август,August,av-goost
Септември,September,sep-tem-vri
Октомври,October,ok-tom-vri
Ноември,November,no-em-vri
Декември,December,de-kem-vri
Пролет,Spring,pro-let
Лято,Summer,lya-to
Есен,Autumn,e-sen
Зима,Winter,zi-ma
